organization,top 3 repo,languages,ros_repos,name_parts,total_repos,mean_repo_stars,stars_count,active_repos,mean_half_year_commits,last_commit_days_ago_mean,is_active,num_topics,tag_density,topics_total,parsed_languages,num_languages,description,description_length,has_description,days_since_last_commit,avg_commits_per_month,recent_commit_score,activity_score,description_density,topics_per_language,cluster,company_type
ros-acceleration,"['robotic_processing_unit', 'community', 'acceleration_examples', 'adaptive_component', 'acceleration_firmware_kv260']","['Cuda', 'Python', 'C++', 'Tcl', 'C', 'CMake']","['ros2_kria', 'isaac_ros_image_pipeline']","['community', 'ament', 'vitis', 'acceleration', 'firmware', 'kv260', 'acceleration', 'firmware', 'acceleration', 'examples', 'ros2acceleration', 'acceleration', 'firmware', 'zcu102', 'vitis', 'common', 'tracetools', 'acceleration', 'ament', 'hardware', 'acceleration', 'acceleration', 'firmware', 'ultra96v2', 'adaptive', 'component', 'image', 'pipeline', 'ros2', 'kria', 'isaac', 'ros', 'image', 'pipeline', 'ament', 'cuda', 'acceleration', 'firmware', 'jetson', 'nano', 'acceleration', 'firmware', 'kr260', 'robotic', 'processing', 'unit', '.github']",20.0,15.65,313.0,1.0,0.1,936.6,False,4.5,4.5,90.0,"{'CMake', '%', 'C++', 'C', 'Python'}",5.0,"Drive creation, maintenance and testing of hardware acceleration for ROS 2 and Gazebo.",86,1,150.0,0.0166666666666666,0.0066225165562913,0.0001103752759381,14.333333333333334,15.0,2,niche_tech
Aceinna,"['gnss-ins-sim', 'python-openimu', 'platform-aceinna_imu', 'ublox_decoder', 'openRTK330-lib']","['JavaScript', 'Shell', 'MATLAB', 'M', 'Python', 'Makefile', 'CSS', 'C++', 'Objective-C', 'Pascal', 'C', 'CMake', 'HTML', 'Assembly', 'Fortran', 'QMake', 'Prolog', 'Batchfile']",['aceinna_openrtk_ros_driver'],"['platform', 'aceinna_imu', 'python', 'imu380', 'gnss', 'ins', 'sim', 'python', 'mtlt', 'docs_aceinna', 'dmu380', 'can', 'j1939', 'doc', 'python', 'openimu', 'python', 'ins1000', 'docs', 'ins1000', 'gnsstools', 'imu381', 'spidriver', 'c', 'mongodb', 'cpp', 'openimu', 'openIMU300', 'lib', 'python', 'spi', 'OpenIMU330', 'lib', 'ublox', 'decoder', 'span', 'decoder', 'docs', 'openrtk', 'keystone', 'mongoosastic', 'openRTK330', 'lib', 'rpi', 'logger', 'rtklib', 'bin', 'aceinna', 'rtklib', 'aceinna', 'INS2000', 'FR2', 'Open', 'LINK', 'ins2000', 'NVIDIA', 'IMU', 'Plugin', 'aceinna', 'openrtk', 'ros', 'driver']",33.0,45.27272727272727,1494.0,2.0,0.1212121212121212,1573.5625,False,0.2121212121212121,0.2121212121212121,7.0,"{'JavaScript', 'C++', '%', 'MATLAB', 'C', 'Python'}",6.0,"Open-source Inertial Navigation, GPS/INS, AHRS and Simulation Software for the Aceinna Navigation Platform",106,1,166.0,0.0202020202020202,0.0059880239520958,0.0001209701808504,15.142857142857142,1.0,2,niche_tech
Accenture,"['adop-docker-compose', 'Ocaramba', 'adop-jenkins', 'adop-platform-management', 'adop-gerrit']","['PowerShell', 'JavaScript', 'Thrift', 'R', 'C++', 'HTML', 'Ruby', 'CSS', 'Scala', 'Java', 'Groovy', 'HCL', 'XSLT', 'Shell', 'Python', 'Perl 6', 'Roff', 'Nginx', 'Dockerfile', 'Gherkin', 'ApacheConf', 'C', 'C#', 'Batchfile']",[],"['mahout', 'timeseriesr', 'environment', 'dashboard', 'scalacheck', 'examples', 'scalacheck', 'contrib', 'rhbase', 'caspanda', 'Ocaramba', 'python', 'forecast.io', 'alexa', 'pokitdok', 'generator', 'mario', 'adop', 'docker', 'compose', 'adop', 'platform', 'management', 'adop', 'nginx', 'adop', 'ldap', 'adop', 'gerrit', 'adop', 'sensu', 'adop', 'sonar', 'adop', 'jenkins', 'adop', 'jenkins', 'worker', 'adop', 'nexus', 'adop', 'logstash', 'tldr', 'tldr', 'promdash', 'tldr', 'prometheus', 'tldr', 'logstash', 'tldr', 'todo', 'client', 'tldr', 'kibana', 'tldr', 'elasticsearch', 'tldr', 'logspout']",211.0,42.89099526066351,9050.0,32.0,3.530805687203792,1772.0817307692307,True,1.2938388625592416,1.2938388625592416,273.0,"{'CSS', 'Scala', 'YARA', 'PHP', 'Jupyter Notebook', 'Assembly', 'OpenEdge ABL', 'R', 'Shell', 'HCL', 'Awk', '%', 'TypeScript', 'Groovy', 'JavaScript', 'Dockerfile', 'Objective-C', 'Arduino', 'Go', 'HTML', 'Apex', 'Ruby', 'C#', 'Rust', 'SCSS', 'Elixir', 'Java', 'Makefile', 'C++', 'C', 'Python'}",31.0,Accenture Github site,21,1,81.0,0.5884676145339652,0.0121951219512195,0.0071764343235849,0.65625,8.53125,3,high_potential
accerion,"['gazebo_ros_2d_map_plugin', 'librover', 'pepperl_fuchs', 'jackal', 'accerionbindings_jll']","['Shell', 'Julia', 'Python', 'C++', 'CMake', 'Batchfile']",['gazebo_ros_2d_map_plugin'],"['gazebo', 'ros', '2d', 'map', 'plugin', 'librover', 'pepperl', 'fuchs', 'jackal', 'accerionbindings', 'jll']",5.0,0.0,0.0,1.0,0.4,844.8,False,0.0,0.0,0.0,"{'C++', 'Julia', 'CMake'}",3.0,,0,0,151.0,0.0666666666666666,0.006578947368421,0.000438596491228,0.0,0.0,0,archived
Active8Robots,"['AR10', 'moveit.ros.org']","['JavaScript', 'Python', 'CMake', 'HTML', 'Ruby', 'PHP', 'CSS']",[],"['A', 'R10', 'moveit.ros.org']",2.0,2.5,5.0,0.0,0.0,2216.5,False,0.0,0.0,0.0,"{'PHP', 'Python'}",2.0,,0,0,1306.0,0.0,0.0007651109410864,0.0,0.0,0.0,0,archived
adlatusrobotics,"['navigation2', 'carebt_ros2', 'stage_ros', 'sick_scan2']","['Shell', 'Python', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Dockerfile']","['carebt_ros2', 'stage_ros']","['navigation2', 'carebt', 'ros2', 'stage', 'ros', 'sick', 'scan2']",4.0,0.0,0.0,0.0,0.0,1434.75,False,0.0,0.0,0.0,"{'C++', 'Python'}",2.0,,0,0,700.0,0.0,0.0014265335235378,0.0,0.0,0.0,0,archived
adlink,"['meta-adlink-nxp', 'meta-adlink-x86-64bit', 'sema-linux-ec', 'meta-adlink-ampere', 'meta-adlink-sema']","['Makefile', 'C++', 'GAP', 'R', 'CMake', 'HTML', 'Fortran', 'NASL', 'SourcePawn', 'Perl', 'XSLT', 'ANTLR', 'Shell', 'Cuda', 'M4', 'Python', 'Objective-C', 'Roff', 'GDB', 'Assembly', 'NSIS', 'Rich Text Format', 'DenizenScript', 'BitBake', 'Pawn', 'Tcl', 'Haskell', 'C', 'ASL', 'Batchfile']",[],"['meta', 'adlink', 'x86', '64bit', 'meta', 'adlink', 'sema', 'meta', 'adlink', 'nxp', 'meta', 'adlink', 'rockchip', 'sema', 'windows', 'sema', 'linux', 'ec', 'mraa', 'litebmc', 'fwupd', 'ec', 'fwupd', 'adlink', 'manifest', 'nxp', 'w8997', 'fwimage', 'meta', 'adlink', 'ampere', 'mwifiex', 'adlink', 'u', 'boot', 'adlink', 'meta', 'adlink', 'demo', 'edk2', 'old', 'Open', 'Platform', 'Pkg', 'eigen', 'adlink', 'bcm560xx', 'edk2', 'aadp', 'edk2', 'platforms', 'old', 'edk2', 'ampere', 'tools', 'edk2_adlink', 'ampere', 'altra', 'sbsa', 'acs', 'iot', 'plugandplay', 'models', 'ampere', 'openocd', 'imx8mp', 'android', 'mtk', 'lec', 'i1200_tools', 'meta', 'adlink', 'mtk', 'mtk', '1200', 'android']",47.0,1.148936170212766,54.0,18.0,6.319148936170213,587.3191489361702,True,0.8936170212765957,0.8936170212765957,42.0,"{'Shell', 'NASL', 'BitBake', 'Makefile', '%', 'C++', 'C', 'Python'}",8.0,,0,0,81.0,1.053191489361702,0.0121951219512195,0.0128437986507524,0.0,4.666666666666667,0,archived
amd,"['OpenCL-caffe', 'blis', 'aocl-libm-ose', 'ZenDNN', 'Chromium-WebCL']","['JavaScript', 'PowerShell', 'Yacc', 'Makefile', 'Meson', 'C++', 'Lua', 'CMake', 'HTML', 'Fortran', 'Ruby', 'NASL', 'Awk', 'CSS', 'Java', 'DTrace', 'Groovy', 'SourcePawn', 'Objective-C++', 'Standard ML', 'Prolog', 'TeX', 'Perl', 'XSLT', 'Batchfile', 'F#', 'Smalltalk', 'Shell', 'MATLAB', 'Cuda', 'M4', 'OpenEdge ABL', 'Python', 'OCaml', 'Objective-C', 'Roff', 'RouterOS Script', 'ASP.NET', 'Assembly', 'PHP', 'Dockerfile', 'Go', 'Visual Basic .NET', 'BitBake', 'Pawn', 'Tcl', 'XQuery', 'C', 'TypeScript', 'C#', 'Emacs Lisp']",[],"['Chromium', 'WebCL', 'existdb', 'node', 'node', 'unzip', 'furious.js', 'OpenCL', 'caffe', 'convnet', 'benchmarks', 'blis', 'libflame', 'amd', 'fftw', 'win', 'libm', 'aocl', 'spack', 'scalapack', 'spack', 'roc', 'ALUTION', 'aocl', 'libm', 'ose', 'esmi', 'ib', 'library', 'aocl', 'sparse', 'esmi', 'oob', 'library', 'tools', 'and', 'sdks', 'aocl', 'scalapack', 'firmware', 'binaries', 'dotnet', 'runtime', 'amd', 'hsmp', 'amd', 'energy', 'Zen', 'DNN', 'mumps', 'build', 'go', 'amd', 'smi', 'amd', 'smi', 'exporter', 'apml', 'modules', 'UIF']",77.0,38.35064935064935,2953.0,44.0,13.051948051948052,658.7260273972603,True,0.1558441558441558,0.1558441558441558,12.0,"{'JavaScript', 'Shell', 'CMake', 'Dockerfile', 'Go', 'HTML', 'C++', 'Python', '%', 'C#', 'C', 'Assembly', 'Fortran'}",13.0,,0,0,81.0,2.1753246753246755,0.0121951219512195,0.0265283496990814,0.0,0.8571428571428571,1,stable_growth
aeolusbot,"['csm', 'tensorflow-cmake', 'optitrack', 'corrade', 'imgui']","['Shell', 'JavaScript', 'Python', 'Makefile', 'Objective-C++', 'CSS', 'C++', 'Objective-C', 'C', 'CMake', 'GDB', 'HTML', 'Ruby', 'GLSL', 'Batchfile']",[],"['tensorflow', 'cmake', 'optitrack', 'csm', 'corrade', 'imgui', 'magnum', 'integration', 'magnum', 'plugins', 'magnum', 'RBOT', 'ansible', 'role', 'nvidia', 'driver']",10.0,0.1,1.0,0.0,0.0,1753.4,False,0.0,0.0,0.0,"{'C++', '%', 'Shell', 'Python'}",4.0,,0,0,1047.0,0.0,0.0009541984732824,0.0,0.0,0.0,0,archived
AeroVect,"['open-autonomous-safety', 'ublox', 'phidgets_drivers', 'pure_pursuit', 'A-LOAM']","['JavaScript', 'Shell', 'Cuda', 'MATLAB', 'Python', 'Makefile', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Dockerfile']","['ros2_numpy', 'ros2_message_converter', 'HesaiLidar_ROS_2.0']","['open', 'autonomous', 'safety', 'ublox', 'phidgets', 'drivers', 'pure', 'pursuit', 'A', 'LOAM', 'SC', 'LeGO', 'LOAM', 'conditional', 'lane', 'detection', 'mmdetection3d', 'ros2', 'numpy', 'pandaset', 'devkit', 'ros2', 'message', 'converter', 'HesaiLidar', 'ROS', '2.0', 'Multi', 'LiCa', 'RT', 'DETR', 'patchwork', 'plusplus', 'Object', 'Detection', 'Metrics', 'direct', 'lidar', 'odometry', 'grid', 'map']",18.0,0.0,0.0,7.0,2.388888888888889,924.3888888888888,False,0.0,0.0,0.0,"{'C++', 'Jupyter Notebook', 'JavaScript', 'Python'}",4.0,Autonomous Airport Logistics,28,1,91.0,0.3981481481481481,0.0108695652173913,0.0043276972624798,5.6,0.0,2,niche_tech
